family,language,prompt,bleu,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate
commercial-new,java,ZS,0.022242751461116723,0.22843533887905576,0.8579514396147587,0.4253308876420659,0.4759615384615385,0.12135036496350365,0.5857960152973106,0.01625
commercial-new,java,OS,0.02262522170674909,0.229643616856936,0.8575886451703819,0.4501168896561646,0.5221153846153845,0.2989659367396594,0.5304373303725636,0.025625000000000002
commercial-new,java,FS,0.026180910320892335,0.2371003003649934,0.8582573450429914,0.5086264566249461,0.5778846153846153,0.2937956204379562,0.4835661855415741,0.030625
commercial-new,javascript,ZS,0.016544219314149095,0.19529543153502316,0.8475353504606902,0.5106980887593132,0.41512915129151295,0.11538461538461539,0.529818783068783,0.02
commercial-new,javascript,OS,0.017718050655608837,0.19926170064647203,0.8488660180324492,0.5570294784580498,0.44280442804428044,0.11538461538461539,0.4930767195767196,0.023125
commercial-new,javascript,FS,0.0183299281520034,0.20731064872935245,0.8504072063847592,0.5856940395205701,0.48523985239852396,0.08653846153846154,0.4589439153439153,0.019375
commercial-new,python,ZS,0.021228170610747867,0.24565973079196346,0.8648079157403753,0.45621565934065933,0.4781021897810219,0.24609375,0.5250401833117466,0.0125
commercial-new,python,OS,0.021405786684953486,0.24383740847769977,0.8654098093390238,0.4332837301587302,0.4051094890510949,0.22265625,0.5669494813362738,0.011875
commercial-new,python,FS,0.020568085358212848,0.24180506000226304,0.8645336913179577,0.4382001678876679,0.42700729927007297,0.265625,0.5558019305492351,0.016875
open-source,java,ZS,0.01487419007856417,0.18101941148124184,0.8474121272995394,0.4144781326427852,0.4826923076923077,0.06843065693430657,0.6106957809030348,0.07
open-source,java,OS,0.020998282545833188,0.2191876206100638,0.8569842022657395,0.3429632426988922,0.3596153846153846,0.03740875912408759,0.6860612509252405,0.019375
open-source,java,FS,0.032974030178520734,0.24810059281141972,0.8577798132277966,0.6745863904474176,0.7788461538461539,0.38746958637469586,0.3368469343696028,0.12687500000000002
open-source,javascript,ZS,0.01155388338993396,0.15479265117251106,0.83944044153073,0.45674198250728865,0.45018450184501846,0.14423076923076925,0.5531555555555555,0.068125
open-source,javascript,OS,0.015479019411049585,0.1855185099464678,0.8487866105836697,0.3349368318756074,0.2333948339483395,0.09615384615384616,0.7034269841269841,0.011875
open-source,javascript,FS,0.016893235674059086,0.1938616298362878,0.8487279804097488,0.5304016844833171,0.3819188191881919,0.125,0.5292314814814815,0.026875
open-source,python,ZS,0.017514590083764367,0.20648622916638176,0.8561626306176185,0.39651633089133087,0.3905109489051095,0.0625,0.6157657145190838,0.041874999999999996
open-source,python,OS,0.024292203867058795,0.23276287194117934,0.8614557478209108,0.5525831807081807,0.14416058394160583,0.00390625,0.616782622139765,0.016875
open-source,python,FS,0.02248052818158138,0.2252114031263565,0.8608845151096697,0.3983955280830281,0.24178832116788324,0.02734375,0.6678029573750598,0.021875
open-source-fine-tuned,java,ZS,0.059770644063065835,0.3118927915475913,0.8703735348209739,0.7347917565817867,0.6394230769230769,0.3753041362530414,0.33559708857636317,0.16875
open-source-fine-tuned,java,OS,0.05543688741664054,0.3014657202147545,0.8696964538469911,0.6619155517191772,0.639423076923077,0.3378953771289538,0.38454616950407106,0.15
open-source-fine-tuned,java,FS,0.057606885779811406,0.3133500250686871,0.8724770356342196,0.7254477772982305,0.5557692307692308,0.25121654501216545,0.38506738835430543,0.108125
open-source-fine-tuned,javascript,ZS,0.02459205632844249,0.23062092028625192,0.8498208298534154,0.7669460641399417,0.5747232472324723,0.17307692307692307,0.30002936507936506,0.0825
open-source-fine-tuned,javascript,OS,0.02252248628414491,0.22496109264246453,0.8524138222262263,0.6913710722384192,0.5940959409594095,0.19230769230769232,0.3437021164021164,0.064375
open-source-fine-tuned,javascript,FS,0.02298254172333511,0.2282102005472022,0.8568963877856731,0.6468213475866537,0.4132841328413284,0.14423076923076922,0.4354994708994709,0.0325
open-source-fine-tuned,python,ZS,0.03305276202233993,0.27508763091568256,0.8690070913732052,0.6242445054945055,0.4881386861313869,0.0703125,0.43159983547449854,0.13125
open-source-fine-tuned,python,OS,0.029080765075118115,0.2536765660463819,0.8674983078613877,0.4406669719169719,0.3266423357664233,0.0595703125,0.6030129461733235,0.044375
open-source-fine-tuned,python,FS,0.02973969311239129,0.2562772704341777,0.8694717403128743,0.40314598595848594,0.33667883211678834,0.0390625,0.6183065979393473,0.040624999999999994
