family,model,bleu,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate
commercial-new,deepseek-chat,0.021419168245118504,0.22787208501969566,0.8584734698136648,0.3866547490942491,0.3325649036950785,0.1281027746584316,0.6351590322954354,0.013333333333333334
commercial-new,gemini-3-flash-preview,0.025247455780530934,0.23981515925465194,0.8607022055155701,0.49467281588430656,0.46337412195009087,0.13676903321063905,0.527234815076458,0.01972222222222222
commercial-new,gpt-5.1,0.020427313992832912,0.22850906069650959,0.8568027309742239,0.48892518466230883,0.6008374005694015,0.25794848399775405,0.4790999490361634,0.021944444444444447
commercial-new,gpt-5.1-codex,0.01594745054348818,0.2052922444885913,0.8530693364091578,0.5698340939360987,0.48293643969567157,0.26197731455486933,0.46047533443555305,0.023333333333333334
open-source,Qwen/Qwen2.5-1.5B-Instruct,0.017626087897268366,0.2056700880395633,0.8557391511137041,0.3830974583541018,0.305057806894745,0.08427206157589369,0.6633252769542612,0.02305555555555556
open-source,Qwen/Qwen2.5-Coder-1.5B-Instruct,0.018515366530867758,0.20037560640335234,0.8514858220186499,0.49618660790074975,0.4523015019594328,0.13911016750889013,0.5389960882561075,0.04111111111111111
open-source,google/codegemma-2b,0.018142331048898855,0.18133227393329013,0.8442529476731023,0.45362232892547133,0.41615983621936165,0.09396477998211575,0.5868413603908175,0.09111111111111111
open-source,google/gemma-2-2b-it,0.02440953159423848,0.23348466277575408,0.8608038875791761,0.4900284067476095,0.3656416794375692,0.10596126551874727,0.575179177241395,0.024166666666666666
open-source-fine-tuned,codegemma_2b_lora_multilang,0.03925969784340928,0.278752827196053,0.8663832059337033,0.6631483942475938,0.4459353768158681,0.11695476753072558,0.43314834337331626,0.06472222222222222
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,0.04337449975927181,0.2820051880676583,0.8660585468345219,0.6626721448735753,0.5935937492446233,0.2843235307879468,0.3771527097319927,0.09916666666666667
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,0.02948930647522907,0.242747475953397,0.8607377525501781,0.5847933883224283,0.47009676188844984,0.14587281255848772,0.4680116013347855,0.11472222222222223
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,0.03666970561332967,0.26117993887320007,0.8635561407771376,0.6206531983049237,0.5206756941235892,0.18306078046041552,0.42718111373895506,0.08694444444444444
