family,model,language,prompt,num_samples,mean_latency_seconds,mean_generated_word_count,bleu,rouge1,rouge2,rougeL,bertscore,parameter_coverage,return_coverage,exception_coverage,omission_rate,hallucination_sample_rate,mean_hallucination_count,input_file,lexical_summary_file,code_grounded_summary_file
open-source,google/gemma-2-2b-it,java,FS,400,57.7777555,28.2975,0.04776945727755324,0.3541323618184818,0.15367917958004185,0.3072622152816267,0.8697371546924114,0.9190260394187887,0.9384615384615385,0.44525547445255476,0.14644399210461387,0.11,0.1525,outputs/segregated_results/open-source-base/raw/gemma_2_2b_it_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\gemma_2_2b_it_P1_few_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-base\may2026\open-source\gemma_2_2b_it_P1_few_shot_java_400_v1_code_grounded_summary.json
open-source,google/codegemma-2b,java,FS,400,33.493931,28.325,0.04210998064138622,0.29443797800573773,0.1287855290813896,0.25739243696392755,0.8552235652714731,0.8163141993957704,0.8692307692307693,0.45498783454987834,0.2266592647421663,0.2725,0.39,outputs/segregated_results/open-source-base/raw/codegemma_2b_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-base\may2026\open-source\codegemma_2b_P1_few_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-base\may2026\open-source\codegemma_2b_P1_few_shot_java_400_v1_code_grounded_summary.json
open-source-fine-tuned,codegemma_2b_lora_multilang,java,OS,400,3.47499775,19.5875,0.05990326015011267,0.3654499217668866,0.1747378366420175,0.32626394286902566,0.8729713472723961,0.7924759027478061,0.6269230769230769,0.354014598540146,0.3223229706390328,0.1825,0.23,outputs/segregated_results/open-source-lora/raw/open-source-fine-tuned/codegemma_2b_lora_multilang/codegemma_2b_lora_multilang_P1_one_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\636e0ce9eb98_codegemma_2b_lora_multilang_P1_one_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\_long_paths\b074b30c28ae_codegemma_2b_lora_multilang_P1_one_shot_java_400_v1_code_grounded_summary.json
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,java,ZS,400,5.4415645,24.0825,0.04409712817866667,0.3367094816832587,0.15011965341412595,0.2888981847778946,0.8640218064188957,0.7911019997122716,0.6923076923076923,0.43795620437956206,0.2795984455958549,0.2425,0.32,outputs/segregated_results/open-source-lora/_long_paths/e81392b1067e_qwen25_1_5b_instruct_lora_multilang_P1_zero_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\711346bcad27_qwen25_1_5b_instruct_lora_multilang_P1_zero_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\correctness\qwen25_1_5b_instruct_lora_multilang_P1_zero_shot_java_400_v1_correctness_summary.json
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,java,FS,400,5.540122,20.8525,0.055640903285276086,0.35729758010109064,0.16453409447813316,0.31479009573350103,0.872734317034483,0.7547834843907352,0.6076923076923076,0.19464720194647203,0.366213298791019,0.0875,0.1125,outputs/segregated_results/open-source-lora/_long_paths/a50cb9a42dc7_qwen25_coder_1_5b_instruct_lora_multilang_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\16723c3d7658_qwen25_coder_1_5b_instruct_lora_multilang_P1_few_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\correctness\qwen25_coder_1_5b_instruct_lora_multilang_P1_few_shot_java_400_v1_correctness_summary.json
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,java,ZS,400,5.340513,20.175,0.06532736546131974,0.35955402333111297,0.18231614992761513,0.31420276634396604,0.8716915652155877,0.7434325996259531,0.5384615384615384,0.35523114355231145,0.35806501357019493,0.17,0.225,outputs/segregated_results/open-source-lora/_long_paths/3e38693e10ff_qwen25_coder_1_5b_instruct_lora_multilang_P1_zero_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\90cdffc2d3f5_qwen25_coder_1_5b_instruct_lora_multilang_P1_zero_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\correctness\qwen25_coder_1_5b_instruct_lora_multilang_P1_zero_shot_java_400_v1_correctness_summary.json
open-source-fine-tuned,codegemma_2b_lora_multilang,java,FS,400,3.5424585,16.01,0.05352915750206532,0.35410998210894506,0.16697874059908546,0.31346471464598885,0.8747850312292575,0.7165947345705654,0.29615384615384616,0.10583941605839416,0.47181717246484084,0.0725,0.0875,outputs/segregated_results/open-source-lora/raw/open-source-fine-tuned/codegemma_2b_lora_multilang/codegemma_2b_lora_multilang_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\48d8e5003004_codegemma_2b_lora_multilang_P1_few_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\_long_paths\0964db02192c_codegemma_2b_lora_multilang_P1_few_shot_java_400_v1_code_grounded_summary.json
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,java,ZS,400,5.6591995,20.04,0.07098919370101713,0.35702684326983997,0.18100338997746712,0.32221304085621566,0.8715875762701034,0.7164364839591426,0.7346153846153847,0.46715328467153283,0.31213298791019,0.1475,0.205,outputs/segregated_results/open-source-lora/raw/open-source-fine-tuned/gemma_2_2b_it_lora_multilang/gemma_2_2b_it_lora_multilang_P1_zero_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\670bfc675768_gemma_2_2b_it_lora_multilang_P1_zero_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\_long_paths\e959266be815_gemma_2_2b_it_lora_multilang_P1_zero_shot_java_400_v1_code_grounded_summary.json
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,java,OS,400,5.88236825,20.04,0.07098919370101713,0.35702684326983997,0.18100338997746712,0.32221304085621566,0.8715875759720803,0.7164364839591426,0.7346153846153847,0.46715328467153283,0.31213298791019,0.1475,0.205,outputs/segregated_results/open-source-lora/raw/open-source-fine-tuned/gemma_2_2b_it_lora_multilang/gemma_2_2b_it_lora_multilang_P1_one_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\394c99e547f8_gemma_2_2b_it_lora_multilang_P1_one_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\_long_paths\fe63a138ddea_gemma_2_2b_it_lora_multilang_P1_one_shot_java_400_v1_code_grounded_summary.json
open-source-fine-tuned,gemma_2_2b_it_lora_multilang,java,FS,400,5.7080435,20.04,0.07098919370101713,0.35702684326983997,0.18100338997746712,0.32221304085621566,0.8715875750780105,0.7164364839591426,0.7346153846153847,0.46715328467153283,0.31213298791019,0.1475,0.205,outputs/segregated_results/open-source-lora/raw/open-source-fine-tuned/gemma_2_2b_it_lora_multilang/gemma_2_2b_it_lora_multilang_P1_few_shot_java_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\9d5e2f5144b4_gemma_2_2b_it_lora_multilang_P1_few_shot_java_400_v1_summary.json,outputs\segregated_results\open-source-lora\_long_paths\0feca74d7094_gemma_2_2b_it_lora_multilang_P1_few_shot_java_400_v1_code_grounded_summary.json
open-source-fine-tuned,qwen25_coder_1_5b_instruct_lora_multilang,javascript,ZS,400,5.68665675,24.6225,0.02457270707050116,0.27118552866543527,0.09049584915680461,0.23004595117044843,0.8463219459354877,0.8379818594104308,0.6346863468634686,0.23076923076923078,0.2346751322751323,0.1075,0.1075,outputs/segregated_results/open-source-lora/_long_paths/67ba25550d0b_qwen25_coder_1_5b_instruct_lora_multilang_P1_zero_shot_javascript_400_v1.jsonl,outputs\segregated_results\open-source-lora\eval\qwen25_coder_1_5b_instruct_lora_multilang_P1_zero_shot_javascript_400_v1_eval.json_summary.json,outputs\segregated_results\open-source-lora\correctness\qwen25_coder_1_5b_instruct_lora_multilang_P1_zero_shot_javascript_400_v1_correctness_summary.json
open-source-fine-tuned,codegemma_2b_lora_multilang,javascript,OS,400,3.50448075,22.53,0.023420407025181555,0.27880866503101986,0.09449064267098543,0.23405465676829337,0.850217412263155,0.8199060576611596,0.7047970479704797,0.15384615384615385,0.23614497354497355,0.0475,0.0475,outputs/segregated_results/open-source-lora/_long_paths/4b1afd8dc165_codegemma_2b_lora_multilang_P1_one_shot_javascript_400_v1.jsonl,outputs\segregated_results\open-source-lora\_long_paths\e2a20de86823_codegemma_2b_lora_multilang_P1_one_shot_javascript_400_v1_summary.json,outputs\segregated_results\open-source-lora\_long_paths\539848342fd4_codegemma_2b_lora_multilang_P1_one_shot_javascript_400_v1_code_grounded_summary.json
open-source-fine-tuned,qwen25_1_5b_instruct_lora_multilang,javascript,ZS,400,5.60346475,26.7325,0.020332338542470844,0.2579832137898487,0.07508374020938392,0.21126586821235896,0.8428008525073528,0.7986232588273404,0.6346863468634686,0.11538461538461539,0.24976084656084654,0.12,0.12,outputs/segregated_results/open-source-lora/_long_paths/cd234f6f2ae2_qwen25_1_5b_instruct_lora_multilang_P1_zero_shot_javascript_400_v1.jsonl,outputs\segregated_results\open-source-lora\eval\qwen25_1_5b_instruct_lora_multilang_P1_zero_shot_javascript_400_v1_eval.json_summary.json,outputs\segregated_results\open-source-lora\correctness\qwen25_1_5b_instruct_lora_multilang_P1_zero_shot_javascript_400_v1_correctness_summary.json
